HGNC ID	Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:33275	ANO1-AS2	C11orf78, NCRNA00224			100009613
HGNC:33276	FLG2		IFPS	NM_001014342	388698
HGNC:33277	FAM163B	C9orf166		NM_001080515	642968
HGNC:33278	CBY3			XM_936994	646019
HGNC:33279	ATXN1L		BOAT1	NM_001137675.2	342371
HGNC:33280	SEPT14		FLJ44060	NM_207366	346288
HGNC:33281	OTX2P1	OTX2P			100033409
HGNC:33282	CT47A1		CT47.1	NM_001080146	728096
HGNC:33283	CT47A2		CT47.2	NM_001080145	728090
HGNC:33284	CT47A3		CT47.3	NM_001080144	728082
HGNC:33285	CT47A4		CT47.4	NM_001080143	728075
HGNC:33286	CT47A5		CT47.5	NM_001080142	728072
HGNC:33287	CT47A6		CT47.6	NM_001080141	728062
HGNC:33288	CT47A7		CT47.7	NM_001080140	653282
HGNC:33289	CT47A8		CT47.8	NM_001080139	728049
HGNC:33290	CT47A9		CT47.9	NM_001080138	728042
HGNC:33291	CT47A10		CT47.10	NM_001080137	728036
HGNC:33292	CT47A12		CT47.12		100507170
HGNC:33293	CT47B1		CT47.13	NM_001145718	643311
HGNC:333	AGT	SERPINA8		NM_000029	183
HGNC:3330	EML1	EMAPL	EMAP, HuEMAP, ELP79	NM_001008707	2009
HGNC:33309	POU5F1P2			NG_006103	100129512
HGNC:3331	EMD		STA, LEMD5		2010
HGNC:33310	POU5F1P4		POU5FLC1, Oct4-pg4		645682
HGNC:33311	POU5F1P5		Oct4-pg5		100009667
HGNC:33312	POU5F1P6				100009668
HGNC:33313	POU5F1P7				100009669
HGNC:33314	POU5F1P8				100009670
HGNC:33315	IRX1P1			NG_009487	646390
HGNC:33316	IRX4P1				
HGNC:33317	TGIF2P1				126826
HGNC:33318	TGIF2P3				
HGNC:33319	TGIF2P4				
HGNC:3332	MARK2	EMK1	PAR-1, Par1b, PAR-1B	NM_017490	2011
HGNC:33320	TGIF2P2				
HGNC:3333	EMP1		TMP, CL-20	NM_001423	2012
HGNC:3334	EMP2		XMP	NM_001424	2013
HGNC:33340	FAM110C			NM_001077710	642273
HGNC:33342	SPAG11A		HE2, EDDM2A	NM_001081552	653423
HGNC:33343	SNORD115-48		HBII-52-48	NR_003362.1	100033822
HGNC:33344	SATB1P1				100033410
HGNC:33345	DUXB				100033411
HGNC:33346	ZEB2P1	ZEB1P1			100420926
HGNC:33347	SNORD116-28		HBII-85-28	NR_003361	100033820
HGNC:33348	SNORD116-29		HBII-85-29	NR_003360	100033821
HGNC:33349	UBE2D3P1	UBE2D5P, UBE2D3P	RP4-680N4	XM_001723611	100037280
HGNC:3335	EMP3		YMP	NM_001425	2014
HGNC:33351	MIR675	MIRN675	hsa-mir-675	NR_030533	100033819
HGNC:33352	ABCC6P1			NR_003569	653190
HGNC:33353	ABCC6P2			NR_023387	730013
HGNC:33354	DEFA11P		DEFAP3		724068
HGNC:33356	TEX28P1		pTEX	NG_005787	728447
HGNC:33357	TEX28P2		pTEX, CXorf2B	XM_927078	653363
HGNC:33358	GLOD5			NM_001080489	392465
HGNC:33359	ZFYVE9P1			NG_022707	100289259
HGNC:3336	EMR1	TM7LN3			2015
HGNC:33360	KRT8P6			NG_021118	392552
HGNC:33361	KRT8P7			NT_033899	729131
HGNC:33362	KRT8P8			NT_011726	402429
HGNC:33363	KRT8P9			NT_010194	390601
HGNC:33364	KRT8P10			NT_005403	344320
HGNC:33365	KRT8P13			NT_005612	730023
HGNC:33366	KRT8P14			NT_079573	347333
HGNC:33367	KRT8P15			NT_005403	645834
HGNC:33368	KRT8P16			NG_006099	220959
HGNC:33369	KRT8P17			NT_011630	392479
HGNC:3337	EMR2		CD312		30817
HGNC:33370	KRT8P18			NT_022517	442078
HGNC:33371	KRT8P19			NG_009706	644998
HGNC:33372	KRT8P20			NT_007819	441218
HGNC:33373	KRT8P21			NG_009686	126811
HGNC:33374	KRT8P22			NT_010498	342419
HGNC:33375	KRT8P23			NT_010194	390610
HGNC:33376	KRT8P24			NT_010194	729344
HGNC:33377	KRT8P25			NT_022459	402134
HGNC:33378	KRT8P26			NT_033903	390211
HGNC:33379	KRT8P27			NT_011669	442455
HGNC:3338	CTTN	EMS1		NM_138565	2017
HGNC:33380	KRT8P28			NT_004487	391099
HGNC:33381	KRT8P29			NT_004487	391155
HGNC:33382	KRT8P30			NT_005403	391485
HGNC:33383	GXYLT2	GLT8D4		NM_001080393	727936
HGNC:33384	KRT18P16			NT_034772	391827
HGNC:33385	KRT18P17			NT_022517	344866
HGNC:33386	KRT18P18			NT_010498	342374
HGNC:33387	KRT18P19			NT_005403	339781
HGNC:33388	KRT18P20			NT_019546	121054
HGNC:33389	KRT18P21			NT_016354	132391
HGNC:3339	EMWX				10118
HGNC:33390	KRT18P22			NT_025741	442252
HGNC:33391	FAM26F	C6orf187	RP1-93H18.5, OTTHUMP00000017061, OTTHUMP00000017062, dJ93H18.5	NM_001010919	441168
HGNC:33392	KRT18P23			NT_011523	642448
HGNC:33393	KRT18P24			NT_023935	340460
